Round	Start	End	Benchmark_Elapsed	Tuning_overhead
1	1746815601.749726	1746816009.2095113	407.4597852230072	0.0
2	1746816009.2530599	1746816422.534749	413.2816891670227	0.043548583984375
3	1746816422.6203492	1746816807.1678276	384.5474784374237	0.08560013771057129
4	1746816807.240265	1746817229.5235767	422.28331184387207	0.07243728637695312
5	1746817229.5547707	1746817605.8167903	376.2620196342468	0.031193971633911133
6	1746817605.851212	1746818016.889739	411.03852701187134	0.034421682357788086
7	1746818016.93978	1746818421.1337254	404.19394540786743	0.05004096031188965
8	1746818421.221883	1746818823.5611556	402.3392724990845	0.08815765380859375
9	1746818826.0223076	1746819242.960899	416.9385914802551	2.4611520767211914
10	1746819243.056108	1746819653.3616633	410.30555534362793	0.09520888328552246
11	1746819653.4156618	1746820055.7255158	402.30985403060913	0.053998470306396484
12	1746820055.7657516	1746820471.6318421	415.86609053611755	0.04023575782775879
13	1746820471.7259805	1746820899.1924818	427.4665012359619	0.09413838386535645
14	1746820899.2935688	1746821315.584738	416.29116916656494	0.10108709335327148
15	1746821315.6855798	1746821719.4420714	403.7564916610718	0.10084176063537598
16	1746821719.525712	1746822085.8737729	366.34806084632874	0.08364057540893555
17	1746822086.0625505	1746822463.0481758	376.9856252670288	0.18877768516540527
18	1746822465.3789878	1746822867.4876053	402.1086175441742	2.3308119773864746
19	1746822867.579522	1746823288.3371534	420.75763154029846	0.09191656112670898
20	1746823288.4224958	1746823719.5901287	431.16763281822205	0.0853424072265625
21	1746823719.6959443	1746824124.2617176	404.5657732486725	0.10581564903259277
22	1746824124.375102	1746824537.9729168	413.5978147983551	0.11338448524475098
23	1746824538.074499	1746824952.6755934	414.6010944843292	0.10158205032348633
24	1746824952.702192	1746825374.287106	421.5849139690399	0.026598691940307617
25	1746825374.515849	1746825739.0073104	364.49146127700806	0.2287430763244629
26	1746825741.7261963	1746826133.5154932	391.78929686546326	2.718885898590088
27	1746826133.6071641	1746826474.2316236	340.6244595050812	0.09167098999023438
28	1746826474.3538656	1746826853.351136	378.99727034568787	0.12224197387695312
29	1746826853.3973844	1746827264.315877	410.9184925556183	0.046248435974121094
30	1746827264.36149	1746827664.1866465	399.8251564502716	0.04561305046081543
31	1746827664.2153325	1746828071.0733442	406.8580117225647	0.028686046600341797
32	1746828071.169982	1746828491.6817346	420.51175260543823	0.09663772583007812
33	1746828494.686605	1746828896.87963	402.1930251121521	3.0048704147338867
34	1746828896.92473	1746829312.4818616	415.55713152885437	0.04509997367858887
35	1746829312.614969	1746829683.1704028	370.5554337501526	0.13310742378234863
36	1746829683.3114867	1746830079.8770535	396.565566778183	0.1410839557647705
37	1746830080.0202007	1746830498.4281857	418.4079849720001	0.14314723014831543
38	1746830498.5558743	1746830886.9771166	388.42124223709106	0.12768864631652832
39	1746830887.0091946	1746831280.8816292	393.87243461608887	0.03207802772521973
40	1746831280.9850543	1746831674.1151812	393.130126953125	0.1034250259399414
41	1746831676.789317	1746832071.1254132	394.3360962867737	2.674135684967041
42	1746832071.352901	1746832477.0464494	405.6935484409332	0.22748780250549316
43	1746832477.1478152	1746832883.3975172	406.2497019767761	0.10136580467224121
44	1746832883.5123835	1746833283.8384871	400.3261036872864	0.11486625671386719
45	1746833283.971166	1746833709.0270796	425.0559136867523	0.13267874717712402
46	1746833709.0636616	1746834084.579153	375.5154914855957	0.036581993103027344
47	1746834084.7142076	1746834495.980925	411.26671743392944	0.1350545883178711
48	1746834496.6924188	1746834866.269594	369.57717514038086	0.711493730545044
49	1746834869.068827	1746835273.5373058	404.46847891807556	2.7992329597473145
50	1746835273.5846798	1746835649.3533945	375.7687146663666	0.04737401008605957
51	1746835649.4603963	1746836052.4299705	402.96957421302795	0.10700178146362305
52	1746836052.4849827	1746836470.553461	418.068478345871	0.05501222610473633
53	1746836470.692143	1746836868.3107305	397.6185874938965	0.13868188858032227
54	1746836868.4141264	1746837287.3388968	418.9247703552246	0.10339593887329102
55	1746837287.375566	1746837689.6998672	402.32430124282837	0.036669254302978516
56	1746837689.7619023	1746838097.6316054	407.8697030544281	0.06203508377075195
57	1746838100.2886672	1746838513.9300473	413.64138007164	2.657061815261841
58	1746838514.0363967	1746838918.3214304	404.28503370285034	0.10634946823120117
59	1746838918.4610946	1746839323.798139	405.33704447746277	0.1396641731262207
60	1746839323.94022	1746839738.7772834	414.8370633125305	0.14208102226257324
61	1746839739.01867	1746840160.5329876	421.5143175125122	0.24138665199279785
62	1746840160.6410959	1746840508.2417672	347.6006712913513	0.1081082820892334
63	1746840508.4017959	1746840890.5580125	382.1562166213989	0.16002869606018066
64	1746840890.609256	1746841286.1145859	395.5053298473358	0.05124354362487793
65	1746841286.2290747	1746841652.6408286	366.41175389289856	0.11448884010314941
66	1746841655.3498056	1746842044.42367	389.07386445999146	2.708976984024048
67	1746842044.4663675	1746842434.3312511	389.86488366127014	0.04269742965698242
68	1746842434.4111	1746842852.1295543	417.7184543609619	0.0798487663269043
69	1746842852.2392032	1746843262.0142648	409.77506160736084	0.1096489429473877
70	1746843262.139889	1746843674.9527352	412.81284618377686	0.1256241798400879
71	1746843675.0954077	1746844046.3302205	371.23481273651123	0.14267253875732422
72	1746844046.3786767	1746844451.9342434	405.5555667877197	0.04845619201660156
73	1746844454.5452447	1746844844.1225057	389.57726097106934	2.6110012531280518
74	1746844844.173772	1746845254.528911	410.3551390171051	0.05126643180847168
75	1746845254.5867212	1746845673.6785102	419.0917890071869	0.057810068130493164
76	1746845673.7968805	1746846042.715326	368.9184455871582	0.11837029457092285
