Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1747815241.913207,44374,3,1
1,NewOrder,1747815241.913356,2922,9,1
1,NewOrder,1747815241.913400,1864,5,1
2,Payment,1747815241.915285,712,5,1
2,Payment,1747815241.916011,588,5,1
1,NewOrder,1747815241.916294,3347,9,1
1,NewOrder,1747815241.916611,2495,5,1
2,Payment,1747815241.919125,44531,5,1
2,Payment,1747815241.919656,38165,9,1
1,NewOrder,1747815241.920101,2967,1,1
2,Payment,1747815241.923087,48442,1,1
1,NewOrder,1747815241.937497,1658,0,1
1,NewOrder,1747815241.937774,1696,6,1
2,Payment,1747815241.939171,746,0,1
2,Payment,1747815241.939478,816,6,1
4,Delivery,1747815241.939822,317992,4,1
2,Payment,1747815241.939934,44559,0,1
2,Payment,1747815241.940303,60147,6,1
1,NewOrder,1747815241.950400,3239,7,1
4,Delivery,1747815241.953664,270915,7,1
1,NewOrder,1747815241.957608,1382,3,1
2,Payment,1747815241.957836,54267,9,1
1,NewOrder,1747815241.959001,1885,3,1
1,NewOrder,1747815241.960903,2007,3,1
1,NewOrder,1747815241.962929,1928,3,1
1,NewOrder,1747815241.963671,1862,5,1
1,NewOrder,1747815241.964873,1315,3,1
1,NewOrder,1747815241.965551,1497,5,1
3,OrderStatus,1747815241.966200,19348,3,1
2,Payment,1747815241.967064,742,5,1
2,Payment,1747815241.967821,48210,5,1
2,Payment,1747815241.971549,44539,1,1
2,Payment,1747815241.984516,45580,0,1
1,NewOrder,1747815241.985564,2839,3,1
1,NewOrder,1747815241.985768,3791,8,1
2,Payment,1747815241.988425,854,3,1
1,NewOrder,1747815241.989296,1775,3,1
1,NewOrder,1747815241.989575,2377,8,1
1,NewOrder,1747815241.991037,5048,2,1
2,Payment,1747815241.991084,47641,3,1
1,NewOrder,1747815241.991971,2635,8,1
1,NewOrder,1747815241.994631,2121,8,1
2,Payment,1747815241.996107,1029,2,1
2,Payment,1747815241.996768,76557,8,1
4,Delivery,1747815241.997174,226652,2,1
2,Payment,1747815242.000482,45592,6,1
