Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1744394338.061423,4331,6,1
2,Payment,1744394338.061597,2592,5,1
2,Payment,1744394338.062334,957,9,1
1,NewOrder,1744394338.062521,4294,3,1
4,Delivery,1744394338.063009,8496,1,1
1,NewOrder,1744394338.063325,2695,9,1
1,NewOrder,1744394338.063538,2876,4,1
2,Payment,1744394338.064203,716,5,1
1,NewOrder,1744394338.064308,7828,8,1
1,NewOrder,1744394338.064932,5832,5,1
2,Payment,1744394338.065768,1046,6,1
1,NewOrder,1744394338.065860,5301,0,1
2,Payment,1744394338.066034,2734,9,1
2,Payment,1744394338.066040,1687,2,1
2,Payment,1744394338.066428,2367,4,1
1,NewOrder,1744394338.066829,3401,3,1
1,NewOrder,1744394338.066831,2796,6,1
5,StockLevel,1744394338.066858,1534,7,1
2,Payment,1744394338.067740,772,2,1
1,NewOrder,1744394338.068406,2435,7,1
1,NewOrder,1744394338.068525,2202,2,1
2,Payment,1744394338.068778,944,9,1
2,Payment,1744394338.068808,1723,4,1
1,NewOrder,1744394338.069656,2396,6,1
1,NewOrder,1744394338.069737,1993,9,1
1,NewOrder,1744394338.070242,1651,3,1
2,Payment,1744394338.070544,784,4,1
1,NewOrder,1744394338.070746,3096,2,1
3,OrderStatus,1744394338.070778,629,5,1
1,NewOrder,1744394338.070854,3596,7,1
1,NewOrder,1744394338.071172,2404,0,1
1,NewOrder,1744394338.071333,2746,4,1
2,Payment,1744394338.071426,770,5,1
1,NewOrder,1744394338.071516,2919,1,1
1,NewOrder,1744394338.071742,2833,9,1
2,Payment,1744394338.071900,1973,3,1
1,NewOrder,1744394338.072065,5279,6,1
1,NewOrder,1744394338.072145,1888,8,1
2,Payment,1744394338.072210,725,5,1
2,Payment,1744394338.072950,825,5,1
1,NewOrder,1744394338.073585,5170,0,1
2,Payment,1744394338.073826,2228,5,1
1,NewOrder,1744394338.073856,4321,2,1
2,Payment,1744394338.073885,637,3,1
1,NewOrder,1744394338.074046,4749,8,1
1,NewOrder,1744394338.074095,3622,4,1
5,StockLevel,1744394338.074448,1757,1,1
2,Payment,1744394338.074463,784,7,1
4,Delivery,1744394338.074529,6449,3,1
1,NewOrder,1744394338.074589,3123,9,1
1,NewOrder,1744394338.075264,3399,7,1
2,Payment,1744394338.076066,662,5,1
3,OrderStatus,1744394338.076217,698,1,1
1,NewOrder,1744394338.076739,2910,5,1
1,NewOrder,1744394338.076926,2536,1,1
2,Payment,1744394338.077355,767,6,1
1,NewOrder,1744394338.077725,8282,9,1
2,Payment,1744394338.077730,1877,4,1
2,Payment,1744394338.078133,645,6,1
2,Payment,1744394338.078194,1944,2,1
1,NewOrder,1744394338.078674,4321,7,1
4,Delivery,1744394338.078759,6163,0,1
2,Payment,1744394338.078791,583,6,1
3,OrderStatus,1744394338.078808,376,8,1
1,NewOrder,1744394338.079194,3882,8,1
1,NewOrder,1744394338.079384,4335,6,1
5,StockLevel,1744394338.079473,1566,1,1
2,Payment,1744394338.079619,1356,4,1
4,Delivery,1744394338.079660,5846,5,1
1,NewOrder,1744394338.080148,3541,2,1
2,Payment,1744394338.080986,637,4,1
2,Payment,1744394338.080989,1381,3,1
5,StockLevel,1744394338.081049,975,1,1
1,NewOrder,1744394338.081635,3001,4,1
1,NewOrder,1744394338.082043,1673,1,1
2,Payment,1744394338.082387,674,3,1
1,NewOrder,1744394338.083008,1671,7,1
2,Payment,1744394338.083074,586,3,1
2,Payment,1744394338.083088,1375,8,1
2,Payment,1744394338.083674,2758,3,1
4,Delivery,1744394338.083700,6497,2,1
1,NewOrder,1744394338.083729,3194,1,1
1,NewOrder,1744394338.083732,1657,6,1
1,NewOrder,1744394338.084474,2934,8,1
1,NewOrder,1744394338.084647,2900,4,1
2,Payment,1744394338.084691,829,7,1
1,NewOrder,1744394338.084934,1668,0,1
4,Delivery,1744394338.085406,5950,6,1
1,NewOrder,1744394338.085517,3413,5,1
1,NewOrder,1744394338.085531,1733,7,1
2,Payment,1744394338.086018,1321,9,1
2,Payment,1744394338.086445,2573,3,1
2,Payment,1744394338.086613,1522,0,1
1,NewOrder,1744394338.086940,3428,1,1
1,NewOrder,1744394338.087276,3529,7,1
3,OrderStatus,1744394338.087356,927,9,1
2,Payment,1744394338.087432,2459,8,1
2,Payment,1744394338.087559,2336,4,1
2,Payment,1744394338.088160,718,0,1
1,NewOrder,1744394338.088301,1914,9,1
2,Payment,1744394338.088891,845,0,1
2,Payment,1744394338.088940,1668,5,1
1,NewOrder,1744394338.089029,1795,3,1
1,NewOrder,1744394338.089748,3793,0,1
1,NewOrder,1744394338.089908,3700,8,1
1,NewOrder,1744394338.089909,3263,4,1
2,Payment,1744394338.090209,1201,2,1
1,NewOrder,1744394338.090226,3386,9,1
2,Payment,1744394338.090379,1814,1,1
1,NewOrder,1744394338.090619,3653,5,1
2,Payment,1744394338.090836,1995,3,1
1,NewOrder,1744394338.090843,2943,7,1
2,Payment,1744394338.091369,2265,6,1
2,Payment,1744394338.091423,630,2,1
2,Payment,1744394338.092064,579,2,1
2,Payment,1744394338.092203,1294,1,1
1,NewOrder,1744394338.092653,5869,2,1
2,Payment,1744394338.092838,2330,3,1
2,Payment,1744394338.093187,1877,4,1
3,OrderStatus,1744394338.093512,805,1,1
2,Payment,1744394338.093559,766,0,1
1,NewOrder,1744394338.093623,3320,9,1
3,OrderStatus,1744394338.093649,623,8,1
5,StockLevel,1744394338.093659,1730,6,1
1,NewOrder,1744394338.093796,2804,7,1
1,NewOrder,1744394338.094286,2221,5,1
1,NewOrder,1744394338.094287,4275,8,1
2,Payment,1744394338.094325,610,1,1
2,Payment,1744394338.094334,2132,0,1
2,Payment,1744394338.094945,787,1,1
1,NewOrder,1744394338.095087,2617,4,1
1,NewOrder,1744394338.095175,3329,3,1
1,NewOrder,1744394338.095398,3269,6,1
2,Payment,1744394338.095741,620,1,1
1,NewOrder,1744394338.096370,1723,1,1
1,NewOrder,1744394338.096475,3722,0,1
1,NewOrder,1744394338.096511,1633,5,1
2,Payment,1744394338.096613,1639,7,1
2,Payment,1744394338.096953,665,9,1
2,Payment,1744394338.097626,1618,9,1
1,NewOrder,1744394338.097713,1949,4,1
2,Payment,1744394338.098101,2090,1,1
2,Payment,1744394338.098148,2058,5,1
1,NewOrder,1744394338.098261,3736,7,1
2,Payment,1744394338.098510,2360,3,1
2,Payment,1744394338.098535,2374,2,1
2,Payment,1744394338.098572,1520,8,1
2,Payment,1744394338.098675,2248,6,1
2,Payment,1744394338.099254,2474,9,1
4,Delivery,1744394338.099668,6656,4,1
2,Payment,1744394338.100102,663,8,1
2,Payment,1744394338.100200,1369,1,1
3,OrderStatus,1744394338.100207,419,0,1
1,NewOrder,1744394338.100220,6131,5,1
4,Delivery,1744394338.100634,6950,0,1
1,NewOrder,1744394338.100774,4400,8,1
2,Payment,1744394338.100880,1519,3,1
2,Payment,1744394338.100915,2345,2,1
1,NewOrder,1744394338.100930,4577,6,1
5,StockLevel,1744394338.101577,1742,1,1
1,NewOrder,1744394338.101736,3441,9,1
3,OrderStatus,1744394338.102011,619,7,1
1,NewOrder,1744394338.102407,2064,3,1
1,NewOrder,1744394338.102637,2747,7,1
1,NewOrder,1744394338.103272,2089,2,1
2,Payment,1744394338.103325,690,1,1
1,NewOrder,1744394338.104027,3567,1,1
2,Payment,1744394338.104484,788,3,1
1,NewOrder,1744394338.105183,6943,8,1
4,Delivery,1744394338.105191,7352,9,1
1,NewOrder,1744394338.105283,7324,3,1
2,Payment,1744394338.105371,966,2,1
1,NewOrder,1744394338.105393,7242,7,1
1,NewOrder,1744394338.105517,2117,6,1
2,Payment,1744394338.106332,700,4,1
1,NewOrder,1744394338.106343,4200,2,1
1,NewOrder,1744394338.106365,5908,5,1
1,NewOrder,1744394338.107040,3694,4,1
3,OrderStatus,1744394338.107594,418,0,1
1,NewOrder,1744394338.107607,3135,1,1
5,StockLevel,1744394338.107644,1379,6,1
2,Payment,1744394338.108026,962,0,1
2,Payment,1744394338.108997,857,0,1
1,NewOrder,1744394338.109031,3286,6,1
1,NewOrder,1744394338.109865,2672,0,1
2,Payment,1744394338.110553,840,2,1
3,OrderStatus,1744394338.110743,667,4,1
3,OrderStatus,1744394338.110752,904,1,1
1,NewOrder,1744394338.111403,7959,2,1
2,Payment,1744394338.111419,646,4,1
1,NewOrder,1744394338.111663,5908,1,1
5,StockLevel,1744394338.112074,1217,4,1
1,NewOrder,1744394338.112134,6838,8,1
1,NewOrder,1744394338.112289,5522,5,1
1,NewOrder,1744394338.112327,2046,6,1
2,Payment,1744394338.112545,984,0,1
1,NewOrder,1744394338.112552,5957,9,1
1,NewOrder,1744394338.112612,2105,3,1
1,NewOrder,1744394338.112638,6635,7,1
3,OrderStatus,1744394338.113304,389,4,1
1,NewOrder,1744394338.113541,3794,0,1
2,Payment,1744394338.113701,657,4,1
5,StockLevel,1744394338.114366,1527,4,1
1,NewOrder,1744394338.114380,3650,6,1
2,Payment,1744394338.114725,1142,3,1
1,NewOrder,1744394338.115878,2350,3,1
2,Payment,1744394338.115901,872,4,1
1,NewOrder,1744394338.116786,3091,4,1
1,NewOrder,1744394338.117343,3104,0,1
1,NewOrder,1744394338.117580,1934,1,1
2,Payment,1744394338.117820,748,5,1
4,Delivery,1744394338.118039,6052,6,1
1,NewOrder,1744394338.118240,2390,3,1
2,Payment,1744394338.118516,776,9,1
2,Payment,1744394338.118579,2174,5,1
1,NewOrder,1744394338.118982,2836,8,1
2,Payment,1744394338.119281,629,7,1
1,NewOrder,1744394338.119312,2841,9,1
3,OrderStatus,1744394338.119371,589,2,1
2,Payment,1744394338.119523,1815,1,1
1,NewOrder,1744394338.119885,2035,4,1
2,Payment,1744394338.119918,721,7,1
4,Delivery,1744394338.119968,5982,2,1
1,NewOrder,1744394338.120456,4597,0,1
2,Payment,1744394338.120638,625,3,1
1,NewOrder,1744394338.120649,4346,7,1
2,Payment,1744394338.120761,1871,5,1
2,Payment,1744394338.121272,536,3,1
2,Payment,1744394338.121344,1177,1,1
1,NewOrder,1744394338.121816,4968,3,1
4,Delivery,1744394338.121823,5779,8,1
1,NewOrder,1744394338.121928,5048,4,1
2,Payment,1744394338.122158,1324,9,1
5,StockLevel,1744394338.122530,1204,1,1
1,NewOrder,1744394338.122640,1518,5,1
1,NewOrder,1744394338.123490,1871,9,1
1,NewOrder,1744394338.123740,3192,1,1
1,NewOrder,1744394338.124100,2238,6,1
1,NewOrder,1744394338.124165,2722,5,1
2,Payment,1744394338.125004,613,7,1
1,NewOrder,1744394338.125062,1685,0,1
2,Payment,1744394338.125366,1016,9,1
4,Delivery,1744394338.125625,6344,7,1
1,NewOrder,1744394338.125958,2452,2,1
2,Payment,1744394338.126344,639,6,1
1,NewOrder,1744394338.126387,3070,9,1
1,NewOrder,1744394338.126755,2866,0,1
1,NewOrder,1744394338.126792,2639,3,1
1,NewOrder,1744394338.126895,2123,5,1
