Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1,1.000,1876114,1876114,1876114,1876114,1876114,1876114,1876114,1876114,1876114
1,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,2.000,293967,293967,312485,303226,312485,312485,312485,312485,312485
3,1,1.000,132714,132714,132714,132714,132714,132714,132714,132714,132714
4,1,1.000,735327,735327,735327,735327,735327,735327,735327,735327,735327
5,1,1.000,308773,308773,308773,308773,308773,308773,308773,308773,308773
6,1,1.000,1387174,1387174,1387174,1387174,1387174,1387174,1387174,1387174,1387174
7,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,1.000,630661,630661,630661,630661,630661,630661,630661,630661,630661
10,1,1.000,897116,897116,897116,897116,897116,897116,897116,897116,897116
11,2,2.000,65255,65255,259234,162244,259234,259234,259234,259234,259234
12,2,2.000,313981,313981,373696,343838,373696,373696,373696,373696,373696
13,2,2.000,103967,103967,443759,273863,443759,443759,443759,443759,443759
14,1,1.000,205111,205111,205111,205111,205111,205111,205111,205111,205111
15,1,1.000,601720,601720,601720,601720,601720,601720,601720,601720,601720
16,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,1,1.000,2327080,2327080,2327080,2327080,2327080,2327080,2327080,2327080,2327080
19,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,1.000,42152,42152,42152,42152,42152,42152,42152,42152,42152
21,1,1.000,455157,455157,455157,455157,455157,455157,455157,455157,455157
22,1,1.000,882899,882899,882899,882899,882899,882899,882899,882899,882899
23,1,1.000,68481,68481,68481,68481,68481,68481,68481,68481,68481
