Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,113.600,27.010,16.288,19.883,23.999,30.574,39.582,46.262,69.041,134.886,0.037
5,91.400,31.595,15.923,22.703,28.309,36.303,47.264,57.646,84.026,140.261,0.032
10,97.800,30.160,16.152,21.591,27.311,35.208,42.526,50.514,74.548,133.549,0.033
15,105.600,27.876,15.523,20.573,25.669,31.973,39.389,44.803,69.140,124.956,0.036
20,88.600,31.615,15.996,22.557,28.502,36.181,48.728,57.965,75.254,88.303,0.032
25,90.400,31.373,16.261,22.449,28.121,36.607,45.906,57.984,80.934,97.631,0.032
30,88.400,31.913,16.392,24.715,29.341,35.327,45.415,51.950,91.174,144.135,0.031
35,101.200,29.259,15.864,20.895,26.609,33.998,41.551,51.839,72.961,145.568,0.034
40,95.200,29.854,16.003,20.419,27.418,35.010,44.955,54.879,74.209,95.827,0.033
45,102.200,29.582,15.847,20.563,27.522,34.258,44.712,52.138,69.085,117.172,0.034
50,97.000,29.974,16.492,21.361,27.138,35.259,44.413,54.020,73.993,99.550,0.033
55,86.000,32.835,15.998,22.305,30.055,38.899,49.396,63.146,98.893,149.372,0.030
60,21.800,26.646,16.031,18.716,24.263,32.797,37.561,40.433,56.336,60.377,0.038
